Stock,FC_Year,ModelLabel,Age,PointFC,AvgRankByAge,p10,p25,p50,p75,p90,System
Okanagan,2026,SibRegKalman,Total,140734,2,61268,89386,129250,193180,247480,Columbia River
Okanagan,2026,TimeSeriesArimaBC,Age 3,14519,2,2433,5128,12883,26862,44821,Columbia River
Okanagan,2026,TimeSeriesArimaBC,Age 4,181519,5.416666666666667,27028,63976,155696,320674,629911,Columbia River
Okanagan,2026,TimeSeriesArimaBC,Age 5,7885,5.25,1748,3274,7177,13663,21840,Columbia River
Okanagan,2026,TimeSeriesArimaBC,Total,203924,5.666666666666667,53997,100744,182775,291322,429229,Columbia River
Okanagan,2026,TimeSeriesArimaNoBC,Age 3,15251,4.833333333333333,2632,5548,13315,29316,53716,Columbia River
Okanagan,2026,TimeSeriesArimaNoBC,Age 4,314519,5.25,56360,119980,263996,528204,860758,Columbia River
Okanagan,2026,TimeSeriesArimaNoBC,Age 5,6145,6.333333333333333,1385,2866,5438,10334,15914,Columbia River
Okanagan,2026,TimeSeriesArimaNoBC,Total,335915,5.166666666666667,107335,168236,288448,436600,581115,Columbia River
Okanagan,2026,TimeSeriesExpSmoothBC,Age 3,14914,3.1666666666666665,3130,5779,12799,29338,53579,Columbia River
Okanagan,2026,TimeSeriesExpSmoothBC,Age 4,186677,8.25,20016,60052,143917,322262,683023,Columbia River
Okanagan,2026,TimeSeriesExpSmoothBC,Age 5,11971,7,1945,4288,10417,22916,40317,Columbia River
Okanagan,2026,TimeSeriesExpSmoothBC,Total,213562,8,51542,99485,190325,338814,489540,Columbia River
Okanagan,2026,TimeSeriesExpSmoothNoBC,Age 3,12589,8.333333333333334,1892,4426,11134,23778,43262,Columbia River
Okanagan,2026,TimeSeriesExpSmoothNoBC,Age 4,215643,6,33996,80557,177816,396186,683640,Columbia River
Okanagan,2026,TimeSeriesExpSmoothNoBC,Age 5,14253,8.666666666666666,2666,4969,12044,24598,41699,Columbia River
Okanagan,2026,TimeSeriesExpSmoothNoBC,Total,242484,5.666666666666667,71252,121430,216357,344357,491721,Columbia River
Wenatchee,2021,Naive4,Age 3,10,6,0,0,7,94,414,Columbia River
Wenatchee,2021,Naive4,Age 4,21564,3.5,1273,3820,15443,54536,109300,Columbia River
Wenatchee,2021,Naive4,Age 5,7429,7.666666666666667,422,1264,4418,19817,53510,Columbia River
Wenatchee,2021,Naive4,Total,29003,3.5,4379,9177,20602,50324,97126,Columbia River
Wenatchee,2021,Naive8,Age 3,136,7,15,38,115,314,622,Columbia River
Wenatchee,2021,Naive8,Age 4,53308,1.1666666666666667,6144,15225,41280,106570,184112,Columbia River
Wenatchee,2021,Naive8,Age 5,11226,7,600,2056,8832,30342,75443,Columbia River
Wenatchee,2021,Naive8,Total,64669,2,15742,27374,54614,102064,150438,Columbia River
Wenatchee,2021,SibRegSimple,Age 3,8,3,0,2,6,19,39,Columbia River
Wenatchee,2021,SibRegSimple,Age 4,137,7.166666666666667,22,52,123,228,371,Columbia River
Wenatchee,2021,SibRegSimple,Age 5,10989,1.3333333333333333,2371,4806,9405,18202,28522,Columbia River
Wenatchee,2021,SibRegSimple,Total,11134,7.166666666666667,4056,6134,10252,15315,20945,Columbia River
Wenatchee,2021,SibRegLogPower,Age 3,8,3.1666666666666665,0,1,6,19,38,Columbia River
Wenatchee,2021,SibRegLogPower,Age 4,37555,6.5,6753,15046,31539,61479,106968,Columbia River
Wenatchee,2021,SibRegLogPower,Age 5,14386,3.1666666666666665,1319,3296,11130,29104,68126,Columbia River
Wenatchee,2021,SibRegLogPower,Total,51948,8.166666666666666,19854,30888,49968,71103,94489,Columbia River
Wenatchee,2021,SibRegKalman,Age 3,8,3.3333333333333335,0,1,5,18,40,Columbia River
Wenatchee,2021,SibRegKalman,Age 4,32702,2.5,2590,8346,30016,85359,160609,Columbia River
Wenatchee,2021,SibRegKalman,Age 5,11614,2.5,916,2701,9430,23204,53208,Columbia River
Wenatchee,2021,SibRegKalman,Total,44324,3.3333333333333335,9965,19754,39205,70778,113307,Columbia River
Wenatchee,2021,TimeSeriesArimaBC,Age 3,8,5.166666666666667,0,2,6,17,36,Columbia River
Wenatchee,2021,TimeSeriesArimaBC,Age 4,70451,6,3560,15011,57072,197273,521717,Columbia River
Wenatchee,2021,TimeSeriesArimaBC,Age 5,8364,4.333333333333333,549,1830,6938,21597,55954,Columbia River
Wenatchee,2021,TimeSeriesArimaBC,Total,78823,6,10562,23922,65647,154253,278916,Columbia River
Wenatchee,2021,TimeSeriesArimaNoBC,Age 3,0,2,0,0,0,1,3,Columbia River
Wenatchee,2021,TimeSeriesArimaNoBC,Age 4,46360,8.666666666666666,1083,4892,28987,138620,474413,Columbia River
Wenatchee,2021,TimeSeriesArimaNoBC,Age 5,1415,7,61,222,1143,5216,14469,Columbia River
Wenatchee,2021,TimeSeriesArimaNoBC,Total,47775,7,7448,16540,37507,88356,171334,Columbia River
Wenatchee,2021,TimeSeriesExpSmoothBC,Age 3,8,6.333333333333333,0,1,5,16,40,Columbia River
Wenatchee,2021,TimeSeriesExpSmoothBC,Age 4,39690,5.5,2166,8085,31064,112300,257177,Columbia River
Wenatchee,2021,TimeSeriesExpSmoothBC,Age 5,8525,5.5,494,1675,5994,21264,55790,Columbia River
Wenatchee,2021,TimeSeriesExpSmoothBC,Total,48224,5.5,6956,16071,39344,92350,172505,Columbia River
Wenatchee,2021,TimeSeriesExpSmoothNoBC,Age 3,190,9,7,27,131,714,2004,Columbia River
